COMMENT: reward function gives -1 when staying at same distance or leaving goal, else it gives -0.5. This was wrongly implemented by me but see the result at bottom. average reward -100 -> agent is doing nothing all the time. Interesting!
HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 0.01
##################################################
EP	reward	steps	info
276	-146.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0370.
277	-329.0	177	ACTUATOR: l1 = 0.0740 @step 177
278	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0491.
279	-147.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0293.
280	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1132.
281	-296.5	134	ACTUATOR: l3 = 0.1260 @step 134
282	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0410.
283	-147.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0458.
284	-140.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0815.
285	-142.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0858.
286	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0350.
287	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0844.
288	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0808.
289	-151.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1097.
290	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0670.
291	-346.0	192	ACTUATOR: l3 = 0.1260 @step 192
292	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1033.
293	-157.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1000.
294	-151.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0768.
295	-269.0	89	ACTUATOR: l2 = 0.1260 @step 89
296	-336.0	186	ACTUATOR: l1 = 0.0740 @step 186
297	-354.5	200	ACTUATOR: l3 = 0.1260 @step 200
298	173.0	39	GOAL!!! DISPLACEMENT 0.0048m @step 39
299	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0826.
300	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0714.
301	-351.0	200	ACTUATOR: l1 = 0.0740 @step 200
302	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1302.
303	-310.5	147	ACTUATOR: l3 = 0.1260 @step 147
304	-152.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1106.
305	-151.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0990.
306	-327.5	164	ACTUATOR: l1 = 0.0740 @step 164
307	-298.0	128	ACTUATOR: l1 = 0.0740 @step 128
308	-151.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1295.
309	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0888.
310	-314.5	151	ACTUATOR: l1 = 0.0740 @step 151
311	-323.0	164	ACTUATOR: l3 = 0.1260 @step 164
312	-298.5	139	ACTUATOR: l1 = 0.0740 @step 139
313	-285.0	116	ACTUATOR: l2 = 0.1260 @step 116
314	165.5	50	GOAL!!! DISPLACEMENT 0.0042m @step 50
315	-326.0	158	ACTUATOR: l2 = 0.1260 @step 158
316	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0892.
317	-287.0	111	ACTUATOR: l2 = 0.1260 @step 111
318	-153.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1152.
319	-311.0	151	ACTUATOR: l1 = 0.0740 @step 151
320	-289.5	115	ACTUATOR: l2 = 0.1260 @step 115
321	-324.0	163	ACTUATOR: l2 = 0.1260 @step 163
322	-336.5	190	ACTUATOR: l3 = 0.0740 @step 190
323	-288.5	122	ACTUATOR: l1 = 0.0740 @step 122
324	-343.0	194	ACTUATOR: l2 = 0.1260 @step 194
325	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1321.
326	-347.5	197	ACTUATOR: l2 = 0.1260 @step 197
327	-335.5	178	ACTUATOR: l1 = 0.0740 @step 178
328	-349.0	195	ACTUATOR: l1 = 0.0740 @step 195
329	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0431.
330	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0604.
331	-313.0	153	ACTUATOR: l2 = 0.1260 @step 153
332	-154.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1263.
333	-290.0	120	ACTUATOR: l1 = 0.0740 @step 120
334	-153.5	200	MAX STEPS 200 REACHED, DISTANCE 0.1022.
335	-327.0	163	ACTUATOR: l2 = 0.1260 @step 163
336	-145.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0683.
337	-144.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0339.
338	-315.5	155	ACTUATOR: l2 = 0.1260 @step 155
339	-144.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0068.
340	-155.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0758.
341	-149.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0380.
342	-151.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0615.
343	-334.0	172	ACTUATOR: l2 = 0.1260 @step 172
344	-302.0	140	ACTUATOR: l2 = 0.1260 @step 140
345	-154.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1324.
346	-277.0	111	ACTUATOR: l3 = 0.0740 @step 111
347	-148.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0533.
348	-149.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0514.
349	-316.0	151	ACTUATOR: l2 = 0.1260 @step 151
350	-295.0	132	ACTUATOR: l3 = 0.0740 @step 132
351	-152.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0937.
352	-348.5	193	ACTUATOR: l2 = 0.1260 @step 193
353	118.0	122	GOAL!!! DISPLACEMENT 0.0049m @step 122
354	-346.5	192	ACTUATOR: l2 = 0.1260 @step 192
355	-325.0	165	ACTUATOR: l2 = 0.1260 @step 165
356	-304.5	141	ACTUATOR: l2 = 0.1260 @step 141
357	-153.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0985.
358	-341.5	189	ACTUATOR: l2 = 0.1260 @step 189
359	-335.0	180	ACTUATOR: l2 = 0.1260 @step 180
360	-145.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0490.
361	-154.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1468.
362	-146.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0261.
363	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0994.
364	-151.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0848.
365	-326.5	164	ACTUATOR: l2 = 0.1260 @step 164
366	-155.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1174.
367	-349.5	199	ACTUATOR: l2 = 0.1260 @step 199
368	69.5	181	GOAL!!! DISPLACEMENT 0.0050m @step 181
369	-316.5	151	ACTUATOR: l2 = 0.1260 @step 151
370	-318.5	168	ACTUATOR: l1 = 0.0740 @step 168
371	-147.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0966.
372	-150.0	200	MAX STEPS 200 REACHED, DISTANCE 0.1241.
373	-303.0	147	ACTUATOR: l1 = 0.0740 @step 147
374	-148.0	200	MAX STEPS 200 REACHED, DISTANCE 0.0491.
375	-152.5	200	MAX STEPS 200 REACHED, DISTANCE 0.0862.
