HYPERPARAMS
version: 9	h1_size: 2048	h2_size: None	npop: 50	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	E[r]	steps	start_d	end_d	covered	info
270	563.2	-199.1	243	0.1141	0.0029	0.1112	1
271	-426.0	-196.3	500	0.0544	0.0396	0.0148	0
272	-219.6	-197.1	500	0.0957	0.0396	0.0561	0
273	530.9	-197.2	170	0.0931	0.0030	0.0901	1
274	368.4	-194.6	155	0.0575	0.0029	0.0546	1
275	560.1	-192.5	189	0.1027	0.0028	0.0999	1
276	-537.2	-189.8	500	0.0162	0.0236	-0.0074	0
277	-344.4	-191.1	500	0.0528	0.0217	0.0311	0
278	387.6	-191.6	134	0.0572	0.0030	0.0542	1
279	-440.3	-189.5	500	0.0346	0.0227	0.0119	0
280	-475.5	-190.4	500	0.0490	0.0441	0.0049	0
281	-163.0	-191.4	500	0.0796	0.0122	0.0674	0
282	-260.1	-191.3	500	0.0812	0.0332	0.0480	0
283	-116.0	-191.6	500	0.0899	0.0131	0.0768	0
284	-221.7	-191.3	500	0.0856	0.0299	0.0557	0
285	-438.2	-191.4	500	0.0324	0.0200	0.0124	0
286	-435.0	-192.3	500	0.0261	0.0131	0.0130	0
287	-118.1	-193.1	500	0.1034	0.0270	0.0764	0
288	-335.4	-192.9	500	0.0537	0.0208	0.0329	0
289	501.8	-193.4	169	0.0870	0.0030	0.0840	1
290	-228.9	-191.0	500	0.0945	0.0403	0.0542	0
291	-45.5	-191.1	500	0.0957	0.0048	0.0909	0
292	-170.6	-190.6	500	0.0698	0.0040	0.0659	0
293	-404.8	-190.5	500	0.0358	0.0167	0.0190	0
294	-216.0	-191.3	500	0.0748	0.0180	0.0568	0
295	-171.1	-191.3	500	0.0918	0.0260	0.0658	0
296	-11.9	-191.3	500	0.1107	0.0131	0.0976	0
297	-332.5	-190.7	500	0.0548	0.0213	0.0335	0
298	-388.3	-191.1	500	0.0306	0.0083	0.0223	0
299	-87.6	-191.8	500	0.0921	0.0096	0.0825	0
300	-550.4	-191.5	500	0.0224	0.0324	-0.0101	0
301	-124.9	-192.6	500	0.0894	0.0144	0.0750	0
302	-107.3	-192.4	500	0.0986	0.0200	0.0785	0
303	-161.0	-192.1	500	0.0725	0.0047	0.0678	0
304	-252.7	-192.0	500	0.0818	0.0323	0.0495	0
305	-420.3	-192.2	500	0.0388	0.0229	0.0159	0
306	-90.8	-193.0	500	0.1070	0.0252	0.0818	0
307	-465.2	-192.7	500	0.0266	0.0196	0.0070	0
308	-126.7	-193.5	500	0.1007	0.0261	0.0747	0
309	-224.5	-193.3	500	0.0712	0.0161	0.0551	0
310	-260.5	-193.4	500	0.0728	0.0249	0.0479	0
311	-114.0	-193.6	500	0.0895	0.0123	0.0772	0
312	481.7	-193.4	123	0.0738	0.0028	0.0710	1
313	534.1	-191.2	189	0.0975	0.0028	0.0947	1
314	-210.1	-188.9	500	0.0744	0.0165	0.0580	0
315	-244.5	-189.0	500	0.0606	0.0095	0.0511	0
316	-76.2	-189.2	500	0.0915	0.0067	0.0848	0
